Year,Place,percent_from_ng,per_cap_use,pop
1990,United States,11.91668074,11713.3317,249623000
1991,United States,12.35771409,12134.17213,252981000
1992,United States,13.05290747,12014.95825,256514000
1993,United States,13.0030193,12261.52378,259919000
1994,United States,14.25609025,12455.16217,263126000
1995,United States,14.86195661,12659.60763,266278000
1996,United States,13.11238033,12854.29891,269394000
1997,United States,13.76951817,12889.83228,272657000
1998,United States,14.67862828,13154.76303,275854000
1999,United States,15.02290612,13281.86998,279040000
2000,United States,15.75529356,13671.05202,282162411
2001,United States,17.19049367,13046.61415,284968955
2002,United States,17.69402387,13296.1823,287625193
2003,United States,16.52897698,13307.49201,290107933
2004,United States,17.6359183,13388.58971,292805298
2005,United States,18.33801176,13704.57705,295516599
2006,United States,19.71396097,13583.26696,298379912
2007,United States,21.16591099,13657.45283,301231207
2008,United States,20.95740713,13663.42797,304093966
2009,United States,22.80158304,12913.71469,306771529
2010,United States,23.37584166,13393.99128,309348193
2011,United States,24.15858976,13242.48711,311663358
2012,United States,29.60867118,12959.20384,313998379
2013,United States,27.02176802,12998.062,316204908
2014,United States,26.88796144,12986.7407,318563456
1990,World,14.73098697,2124.770523,5288103216
1991,World,14.62494556,2150.69006,5375488625
1992,World,14.60672362,2131.314014,5459753863
1993,World,14.71044512,2137.338297,5544873088
1994,World,14.9170871,2160.499501,5628791182
1995,World,15.17714297,2197.844657,5713794373
1996,World,15.19198357,2236.933796,5796632121
1997,World,15.99021742,2259.700667,5879433899
1998,World,16.5423382,2282.053739,5961166045
1999,World,17.44789049,2314.690873,6041818590
2000,World,17.74630875,2384.206896,6121682741
2001,World,18.58957095,2377.819682,6201340848
2002,World,19.13288676,2432.587818,6280531847
2003,World,19.41469928,2497.931462,6359901308
2004,World,19.94309044,2575.746467,6439827446
2005,World,20.17072655,2653.491336,6520301437
2006,World,20.50155311,2729.764035,6601480650
2007,World,21.20121567,2819.372702,6683228246
2008,World,21.59814943,2840.65653,6766302523
2009,World,21.92332517,2791.113615,6849573246
2010,World,22.39714671,2954.756663,6932880892
2011,World,21.97194578,3019.614313,7014998805
2012,World,22.3969371,3044.350241,7099548883
2013,World,21.52657668,3103.932933,7185078354
2014,World,21.5848632,3125.329474,7271228018
